Year,rpt_rec_num,Provider CCN,Hospital Name,Street Address,City,State Code,Zip Code,County,Medicare CBSA Number,Rural Versus Urban,CCN Facility Type,Provider Type,Type of Control,Fiscal Year Begin Date,Fiscal Year End Date,FTE - Employees on Payroll,Number of Interns and Residents (FTE),Total Days Title V,Total Days Title XVIII,Total Days Title XIX,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges Title V,Total Discharges Title XVIII,Total Discharges Title XIX,Total Discharges (V + XVIII + XIX + Unknown),Number of Beds + Total for all Subproviders,Hospital Total Days Title V For Adults & Peds,Hospital Total Days Title XVIII For Adults & Peds,Hospital Total Days Title XIX For Adults & Peds,Hospital Total Days (V + XVIII + XIX + Unknown) For Adults & Peds,Hospital Number of Beds For Adults & Peds,Hospital Total Bed Days Available For Adults & Peds,Hospital Total Discharges Title V For Adults & Peds,Hospital Total Discharges Title XVIII For Adults & Peds,Hospital Total Discharges Title XIX For Adults & Peds,Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults & Peds,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated Care,Total Unreimbursed and Uncompensated Care,Total Salaries From Worksheet A,Overhead Non-Salary Costs,Depreciation Cost,Total Costs,Inpatient Total Charges,Outpatient Total Charges,Combined Outpatient + Inpatient Total Charges,Wage-Related Costs (Core),Wage-Related Costs (RHC/FQHC),Total Salaries (adjusted),Contract Labor: Direct Patient Care,Wage Related Costs for Part - A Teaching Physicians,Wage Related Costs for Interns and Residents,Cash on Hand and in Banks,Temporary Investments,Notes Receivable,Accounts Receivable,Less: Allowances for Uncollectible Notes and Accounts Receivable,Inventory,Prepaid Expenses,Other Current Assets,Total Current Assets,Land,Land Improvements,Buildings,Leasehold Improvements,Fixed Equipment,Major Movable Equipment,Minor Equipment Depreciable,Health Information Technology Designated Assets,Total Fixed Assets,Investments,Other Assets,Total Other Assets,Total Assets,Accounts Payable,"Salaries, Wages, and Fees Payable",Payroll Taxes Payable,Notes and Loans Payable (Short Term),Deferred Income,Other Current Liabilities,Total Current Liabilities,Mortgage Payable,Notes Payable,Unsecured Loans,Other Long Term Liabilities,Total Long Term Liabilities,Total Liabilities,General Fund Balance,Total Fund Balances,Total Liabilities and Fund Balances,DRG Amounts Other Than Outlier Payments,DRG Amounts Before October 1,DRG Amounts After October 1,Outlier Payments For Discharges,Disproportionate Share Adjustment,Allowable DSH Percentage,Managed Care Simulated Payments,Total IME Payment,Inpatient Revenue,Outpatient Revenue,Total Patient Revenue,Less Contractual Allowance and Discounts on Patients' Accounts,Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio,Net Revenue from Medicaid,Medicaid Charges,Net Revenue from Stand-Alone CHIP,Stand-Alone CHIP Charges
2018,639197,51994,FERN LODGE INC,18457 MADISON AVE,CASTRO VALLEY,CA,94546-1637,,,NA,RNMHC,6,1,1/1/2018,7/1/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,644158,341318,CHOWAN HOSPITAL INC.,211 VIRGINIA AVENUE,EDENTON,NC,27932,CHOWAN,99934,R,CAH,1,2,10/1/2017,9/30/2018,270.54,,,3049,1049,5754,25,9125,,726,482,1482,25,,2336,545,4083,21,7665,,726,482,1482,102182,16941218,5908922,5931781,16088883,28864884,2066377,42664330,36330775,88271199,124601974,,,,,,,3810010,,,18009361,-9501722,2132511,46461,,18362965,568351,855038,30028618,,,20381055,,,17776469,,2422055,2422055,38561489,2748160,3381832,,,,5067697,11197689,,,,10131544,10131544,21329233,17232256,17232256,38561489,,,,,,,,,36474675,89849807,126324482,69643303,56681179,50776060,5905119,1211964,7117083,,7117083,0.342405,7305948,17818589,38906,180387
2018,644255,102012,SPECIALTY HOSPITAL OF JACKSONVILLE,4901 RICHARD STREET,JACKSONVILLE,FL,32207,DUVAL,27260,U,LTCH,2,4,1/1/2018,3/31/2018,161.48,,,1479,,2591,107,9630,,49,,99,107,,1479,,2591,107,9630,,49,,99,,,,,2406681,4292764,226301,4816886,21692290,1503,21693793,663121,,2319213,81435,,,1366,,,3660792,-339125,399267,69835,,3732846,2277241,192477,1310411,1599294,3315076,6242542,1511218,,3832793,,-4203641,-4203641,3361998,392652,610979,562848,21829,,,1588308,,126337,23802028,45990,23974355,25562663,-22200665,-22200665,3361998,,,,,,,,,21692290,1503,21693793,16964413,4729380,6699445,-1970065,35748,-1934317,-522,-1933795,,,,,
2018,644287,221300,MARTHAS VINEYARD HOSPITAL,ONE HOSPITAL ROAD,OAK BLUFFS,MA,2557,DUKES,99922,R,CAH,9,2,10/1/2017,9/30/2018,373.43,,,3730,434,5541,25,9125,,550,124,1343,25,,1939,319,3155,25,9125,,550,124,1343,5800201,2646768,7095553,7095553,39976499,49701919,6654850,70934033,24038629,116665740,140704369,,,,,,,7024393,21707515,,11141081,-3762326,796815,748623,6731751,44387852,2308333,748177,84454784,,,17255744,,,56381068,46160394,3829000,49989394,150758314,1523212,6954834,,11655725,,4628316,29863945,,,,754603,754603,30618548,120139766,120139766,150758314,,,,,,,,,26467434,136771240,163238674,79169568,84069106,89678418,-5609312,5668549,59237,,59237,0.504135,9736097,17034508,92090,174800
2018,644427,14014,BAYPOINT BEHAVIORAL HEALTH,5750 A SOUTHLAND DRIVE,MOBILE,AL,36693-3316,,,NA,PH,4,9,10/1/2017,9/30/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,644638,201302,LINCOLNHEALTH,6 ST. ANDREWS LANE,BOOTHBAY HARBOR,ME,04538-,LINCOLN,99920,R,CAH,1,2,10/1/2017,9/30/2018,367.83,,,3790,490,7158,25,9125,,883,144,1651,67,,3228,390,5709,21,7665,,883,144,1651,1636649,6042672,4995319,4995319,23612276,57582080,3444991,69897267,37577199,84599527,122176726,,,,,,,2212021,,297542,10000769,,3374018,,,22959290,2480754,5440405,62306026,630254,8231318,22751221,,,47027239,13071315,3484382,16555697,86542226,3801666,2276837,,,31444,1574613,18439470,,9625707,,3388203,13013910,31453380,55088846,55088846,86542226,,,,,,,,,41558781,95051536,136610317,51400376,85209941,84572642,637299,4316918,4954217,,4954217,0.5721,7531862,9657806,,
2018,645205,511306,ROANE GENERAL HOSPITAL,200 HOSPITAL DRIVE,SPENCER,WV,25276-1060,ROANE,99951,R,CAH,1,2,10/1/2017,9/30/2018,190.35,,,1512,7,2865,25,9125,,96,3,198,69,,281,7,568,25,9125,,96,3,198,188338,2937841,1314853,1314853,16782713,19492299,919304,32653217,10970176,71977572,82947748,,,,,,,4683274,2987414,,4108805,,527965,123688,160011,12875478,320811,54163,7176299,,5323511,14157825,,,9356413,,2950867,2950867,25182758,1856494,2241444,,499381,83098,7131,9377850,,2327162,,1149377,3476539,12854389,12328369,12328369,25182758,,,,,,,,,11144041,74596705,85740746,50545033,35195713,36275012,-1079299,3092079,2012780,,2012780,0.39366,9957268,23640837,191544,455934
2018,645206,511320,JACKSON GENERAL HOSPITAL,PINNELL STREET,RIPLEY,WV,25271,JACKSON,99951,R,CAH,1,2,10/1/2017,9/30/2018,220.13,,,1883,7,2897,25,9125,,267,2,431,25,,1016,7,1623,25,9125,,267,2,431,76352,3846024,1343822,1359482,12895212,15060058,617240,23167893,6838168,63725559,70563727,,,,,,,753163,,,16642642,-12534750,252960,168752,346977,6326559,92189,370980,7089173,,,8405354,46640,,4206712,,,,10533271,2333411,2008126,,,,280002,4621539,,1132105,,836014,1968119,6589658,3943613,3943613,10533271,,,,,,,,,7787657,78841405,86629062,57761600,28867462,27955270,912192,450296,1362488,,1362488,0.328326,4523031,15912143,67521,253350
2018,645351,341323,CHARLES A. CANNON MEMORIAL HOSPITAL,434 HOSPITAL DRIVE,LINVILLE,NC,28646-,AVERY,99934,R,CAH,1,2,10/1/2017,9/30/2018,129.63,,,976,108,1542,21,7665,,292,28,479,31,,930,108,1450,21,7665,,292,28,479,430387,3511790,2028736,2435462,8851360,14533757,1888776,20845632,13345797,31508304,44854101,,,,,,,634200,,,2714185,,600904,207795,512000,4720739,,,15137086,,,,,,15137086,,-1203581,-1203581,18654244,799395,,,481290,,519074,1799759,5040520,,,228000,5268520,7068279,11585965,11585965,18654244,,,,,,,,,14853186,33288851,48142037,28803245,19338792,23385117,-4046325,3346004,-700321,,-700321,0.464743,1150269,3350227,,
2018,645352,341326,ANGEL MEDICAL CENTER,120 RIVERVIEW STREET,FRANKLIN,NC,28744-,MACON,99934,R,CAH,1,2,10/1/2017,9/30/2018,202.53,,,2921,297,5034,25,9125,,862,105,1556,25,,2207,256,3705,20,7300,,862,105,1556,4006556,11973990,7406487,8247394,13986779,40851048,2443334,50124457,24741434,159174728,183916162,,,,,,,1831650,,,41514889,-30735216,1837753,32572,199009,18597248,3480000,531727,38428859,2890638,4302757,14744503,,,23096740,,3025854,3025854,44719842,1289559,1391714,39403,1066530,,416144,4203350,,,,12507700,12507700,16711050,28008792,28008792,44719842,,,,,,,,,24535574,169269778,193805352,138404677,55400675,54837825,562850,3253375,3816225,,3816225,0.27254,4055059,17964211,,
