Year,rpt_rec_num,Provider CCN,Hospital Name,Street Address,City,State Code,Zip Code,County,Medicare CBSA Number,Rural Versus Urban,CCN Facility Type,Provider Type,Type of Control,Fiscal Year Begin Date,Fiscal Year End Date,FTE - Employees on Payroll,Number of Interns and Residents (FTE),Total Days Title V,Total Days Title XVIII,Total Days Title XIX,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges Title V,Total Discharges Title XVIII,Total Discharges Title XIX,Total Discharges (V + XVIII + XIX + Unknown),Number of Beds + Total for all Subproviders,Hospital Total Days Title V For Adults & Peds,Hospital Total Days Title XVIII For Adults & Peds,Hospital Total Days Title XIX For Adults & Peds,Hospital Total Days (V + XVIII + XIX + Unknown) For Adults & Peds,Hospital Number of Beds For Adults & Peds,Hospital Total Bed Days Available For Adults & Peds,Hospital Total Discharges Title V For Adults & Peds,Hospital Total Discharges Title XVIII For Adults & Peds,Hospital Total Discharges Title XIX For Adults & Peds,Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults & Peds,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated Care,Total Unreimbursed and Uncompensated Care,Total Salaries From Worksheet A,Overhead Non-Salary Costs,Depreciation Cost,Total Costs,Inpatient Total Charges,Outpatient Total Charges,Combined Outpatient + Inpatient Total Charges,Wage-Related Costs (Core),Wage-Related Costs (RHC/FQHC),Total Salaries (adjusted),Contract Labor: Direct Patient Care,Wage Related Costs for Part - A Teaching Physicians,Wage Related Costs for Interns and Residents,Cash on Hand and in Banks,Temporary Investments,Notes Receivable,Accounts Receivable,Less: Allowances for Uncollectible Notes and Accounts Receivable,Inventory,Prepaid Expenses,Other Current Assets,Total Current Assets,Land,Land Improvements,Buildings,Leasehold Improvements,Fixed Equipment,Major Movable Equipment,Minor Equipment Depreciable,Health Information Technology Designated Assets,Total Fixed Assets,Investments,Other Assets,Total Other Assets,Total Assets,Accounts Payable,"Salaries, Wages, and Fees Payable",Payroll Taxes Payable,Notes and Loans Payable (Short Term),Deferred Income,Other Current Liabilities,Total Current Liabilities,Mortgage Payable,Notes Payable,Unsecured Loans,Other Long Term Liabilities,Total Long Term Liabilities,Total Liabilities,General Fund Balance,Total Fund Balances,Total Liabilities and Fund Balances,DRG Amounts Other Than Outlier Payments,DRG Amounts Before October 1,DRG Amounts After October 1,Outlier Payments For Discharges,Disproportionate Share Adjustment,Allowable DSH Percentage,Managed Care Simulated Payments,Total IME Payment,Inpatient Revenue,Outpatient Revenue,Total Patient Revenue,Less Contractual Allowance and Discounts on Patients' Accounts,Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio,Net Revenue from Medicaid,Medicaid Charges,Net Revenue from Stand-Alone CHIP,Stand-Alone CHIP Charges
2021,695374,341317,LIFEBRITE COMMUNITY HOPITAL OF STOK,1570 NC 8 & 89 HWY N,DANBURY,NC,27016,STOKES,49180,U,CAH,1,4,10/1/2020,12/31/2020,98.4,,,139,12,414,25,2300,,13,3,37,65,,50,12,138,25,2300,,13,3,37,23850,686278,313043,870990,1687354,1686150,58590,3317508,1762804,6109909,7872713,,,,,,,33376,,,95422125,-91536340,168244,100963,,5369896,,,,,,1829907,,,974450,,,,6344346,896077,212571,199415,1529245,,114321,8677936,,,,,,8677936,-2333590,-2333590,6344346,,,,,,,,,1932554,6203976,8136530,8796475,-659945,3373504,-4033449,234601,-3798848,686278,-4485126,0.421393,231778,1874083,,
2021,695541,520011,LAKEVIEW MEDICAL CENTER OF RICE LAKE,1700 WEST STOUT STREET,RICE LAKE,WI,54868-,BARRON,99952,R,STH,1,2,10/1/2020,12/31/2020,511.38,,,738,25,1618,40,3680,,168,5,441,40,,610,13,1216,35,3220,,168,5,441,66544,744451,350010,2394428,13695386,23174716,1024147,31876483,9602275,67267289,76869564,2093807,,13695386,238042,,,30382647,,,40051413,-23653190,1763332,,438316,49162830,4503454,3448842,71369367,,754793,25973121,,,57861894,458923,-10563507,-10104584,96920140,321959,,,,12534688,448957,13305604,23805526,18627858,,458923,42892307,56197911,40722229,40722229,96920140,,,1689177,,34544,0.0818,686487,,11988105,84138183,96126288,53703153,42423135,38207247,4215888,2218308,6434196,322078,6112118,0.414683,3143336,12510167,,
2021,695846,520037,MARSHFIELD MEDICAL CENTER,611 ST JOSEPH AVENUE,MARSHFIELD,WI,54449,,99952,R,STH,1,2,10/1/2020,12/31/2020,2578.17,75,,4425,1286,17238,189,17591,,732,154,2260,198,,3737,752,13031,147,13509,,732,154,2260,404607,6330460,2787965,7589504,74758883,124935381,12891089,144931472,167499168,214182497,381681665,10825886,,74758883,1431560,,,305694185,,,783660140,-527367812,67117062,3951612,,864010107,37076914,29667137,699263290,227928634,13246593,409150892,,,815287052,512252119,244491050,756743169,2436040328,10776174,39904970,,36372534,89936084,16138000,193127762,1177744751,,,108268333,1286013084,1479140846,956899482,956899482,2436040328,,,9101393,,197728,0.0869,8073859,1583770,169108741,291579901,460688642,303221967,157466675,204636626,-47169951,44969213,-2200738,,-2200738,0.379718,17596973,58987228,,
2021,696323,340141,NEW HANOVER REGIONAL MEDICAL CENTER,2131 S. 17TH ST,WILMINGTON,NC,28402,NEW HANOVER,48900,R,STH,1,9,10/1/2020,1/31/2021,5711.86,77.84,,22952,11713,68179,684,85362,,3919,2084,11255,800,,20944,6763,54483,572,70725,,3919,2084,11255,6769412,38639350,16112328,16305028,140551231,285356502,9083077,330818093,655872043,738160044,1394032087,38352922,,140551231,8268403,,382644,781666347,23310564,,416337198,-267051944,42288039,19369630,612112,1065999119,26637608,20234913,477090579,235248325,3143735,401664725,11942318,,582459548,5819351,35285041,41104392,1689563059,64796020,60706100,,,3834786,51229777,186169309,,341604878,,,341604878,527774187,1178701340,1178701340,1706475527,,,46115514,,1398453,0.1213,19950204,2396808,657287788,771631956,1428919744,1038875499,390044245,425907733,-35863488,19175950,-16687538,225130,-16912668,0.23731,20399104,144283620,232178,1620804
2021,696374,150045,PARKVIEW - DEKALB HEALTH,1316 EAST 7TH STREET,AUBURN,IN,46706-,,99915,R,STH,1,2,10/1/2020,12/31/2020,57.59,,,387,17,1230,57,5244,,125,3,447,57,,276,17,743,49,4508,,125,3,447,302411,1197819,579149,1668909,4373226,10304741,235574,12021596,13140322,39264861,52405183,1402526,,4373226,84545,,,4568143,,,20460263,-10187847,956083,170868,,15967510,2496000,,24158752,8000,22283,3840650,,,27152191,,22806904,22806904,65926605,1652069,882127,,,,4113093,6647289,,8872735,,,8872735,15520024,50406581,50406581,65926605,,,900261,,15102,0.0671,,,13140322,39264860,52405182,34284630,18120552,14688471,3432081,5042355,8474436,,8474436,0.229397,468267,6791838,,
2021,697563,230118,MCLAREN THUMB REGION,1100 SOUTH VAN DYKE,BAD AXE,MI,48413-,HURON,99923,R,STH,1,2,10/1/2020,1/29/2021,211.41,,,409,16,1542,31,3751,,118,6,383,31,,318,6,925,27,3267,,118,6,383,36794,,36794,761222,5166373,9738889,777357,12134939,6723735,21099313,27823048,1408750,6906,5166373,490611,,,-741051,115911,,14166053,-8378996,1418928,280979,,6861824,416653,701680,26286847,,25022421,,,,13339388,14350710,79209,14430931,34632143,2444628,1492118,169879,,5581661,693167,12315250,7960624,,,478221,8438845,20754095,13878048,13878048,34632143,,,994138,,15459,0.0622,513047,,7091162,22196103,29287265,15635817,13651448,14905262,-1253814,2091283,837469,,837469,0.436147,979957,4732678,,
2021,699530,50660,USC NORRIS CANCER HOSPITAL,1441 EASTLAKE AVE,LOS ANGELES,CA,90033-,LOS ANGELES,31084,U,STH,3,2,10/1/2020,12/31/2020,562.78,15.3,,864,461,3057,60,5520,,130,49,427,60,,796,417,2817,53,4876,,130,49,427,,,,,18598061,54212732,,74451457,49995155,232078094,282073249,,,,,,,12087954,,,105293013,-63801639,7316224,863259,3240857,44560507,,,61539663,,201521,40394884,,,48139685,,,,92700192,14972314,7928828,,,27326159,282322331,332549632,,,,,,332549632,-239849440,-239849440,92700192,,,,,,,,,49985155,232078094,282063249,198355096,83708153,72810793,10897360,6951539,17848899,,17848899,,,,,
2021,699531,50696,KECK HOSPITAL OF USC,1500 SAN PABLO STREET,LOS ANGELES,CA,90033-,LOS ANGELES,31084,R,STH,1,2,10/1/2020,12/31/2020,3448.97,164.29,,6259,1245,19091,301,27692,,900,469,2643,331,,4341,1245,13037,219,20148,,900,469,2643,912495,1418710,1347418,1347418,119939479,246773480,,299617905,603221070,441889996,1045111066,21910028,,119939479,10589322,,12847,309670550,,,440078793,-244831105,36224602,29115431,36758495,601393555,,,505510912,,,319165503,,,498387547,,29834807,29834807,1129615909,88378214,53741663,,,156789571,-237650170,61259278,,305195059,,,305195059,366454337,763161572,763161572,1129615909,,,22267160,,1110018,0.1994,8687695,4889245,601887455,443225691,1045113146,735605832,309507314,366712959,-57205645,30360365,-26845280,,-26845280,0.286685,61451856,181089745,,
2021,699807,190146,EAST JEFFERSON GENERAL HOSPITAL,4200 HOUMA,METAIRIE,LA,70006,,35380,U,STH,1,11,10/1/2020,12/31/2020,1397.19,29.6,,2709,44,11637,250,23000,,651,1,2621,335,,2224,11,8525,192,17664,,651,1,2621,353980,3143795,1105563,3167437,24065730,53834320,5713994,64124863,120700054,156624038,277324092,6122043,,24071302,1089472,56981,96932,15530826,1,,206656339,-153028013,9914674,3590226,,86075168,33578097,15073919,70397731,,5169876,35208672,261903,,154030364,,11731752,11782206,251887738,22462794,9563081,230021,5126913,,135528104,172910913,8093,,,10400845,10408938,183319851,68567887,68567887,251887738,,,5786591,,113562,0.0785,9954316,282362,120700813,159095321,279796134,210664725,69131409,77900050,-8768641,81478811,72710170,,72710170,0.231227,3508814,24091857,,
2021,700312,364064,SUNRISEVISTA HEALTH AND WELLNESS,1223 MARKET AVE N,CANTON,OH,44714,STARK,15940,U,PH,4,5,11/21/2020,3/31/2021,36.37,,,157,18,1736,72,4568,,20,3,296,72,,157,18,1736,72,4568,,20,3,296,,,,,909506,1233506,14859,2083875,9354451,,9354451,,,,,,,38397,,,1095321,-32250,,66540,,1190659,,,,2165,10449,117606,,,124179,,444489,444489,1759327,554189,,157448,,,,711637,,27193,,,27193,738830,1020497,1020497,1759327,,,,,,,,,9354451,,9354451,8304687,1049764,2143012,-1093248,1693535,600287,,600287,,,,,
